model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.7927048036675304,0.7886837170350739,0.7927048036675304,0.7885667222153253,0.8380926066586053
Random Forest,0.6613514052222443,0.7700579294325155,0.6613514052222443,0.5361475503504287,0.8526985557765263
